supermercado,provincia,localidad,direccion,latitude,longitude
Carrefour Express,Córdoba,Córdoba,Avenida Colón 636,-31.410955,-64.1918683
Carrefour Express,Buenos Aires,Moreno,Av. Bartolomé Mitre 3125/3145,-34.6396556,-58.7898326
Carrefour Express,Capital Federal,Ciudad de Buenos Aires,Bartolomé Mitre 4202,-34.6103855,-58.4261278
Carrefour Express,Capital Federal,Almagro,Bulnes 250,-34.6078995,-58.418815
Carrefour Express,Mendoza,Mendoza,Perito Moreno 341,-32.9288585,-68.8448403
Carrefour Express,Capital Federal,Caballito,Río de Janeiro 838,-34.6056197,-58.431146
Carrefour Express,Capital Federal,Villa Crespo,Thames 647,-34.5943739,-58.4412885
Carrefour Express,Córdoba,Córdoba,López y Planes 265,-32.40362,-63.237824
Carrefour Express,Córdoba,Córdoba,Prudencio Bustos 122,-31.6568287,-64.4286882
Carrefour Express,Capital Federal,Ciudad de Buenos Aires,Godoy Cruz 2681,-34.5791078,-58.4254802
Carrefour Express,Mendoza,Mendoza,Sarmiento 119,-32.8902231,-68.8410322
Carrefour Express,Capital Federal,Ciudad de Buenos Aires,Fray Cayetano Rodríguez 635/39,-34.6252926,-58.4641862
Carrefour Express,Capital Federal,Ciudad de Buenos Aires,Bulnes 250,-34.6078995,-58.418815
Carrefour Express,Córdoba,La Falda,9 de Julio 156,-31.0907878,-64.4848857
Carrefour Express,Capital Federal,Ciudad de Buenos Aires,Gallo 931,-34.5988975,-58.4119582
Carrefour Express,Córdoba,Córdoba,Avenida Belgrano 140,-31.6577295,-64.4323585
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Godoy Cruz 2685,-34.5790159,-58.425457
Carrefour Express,Córdoba,Córdoba,Julio A. Roca 177,-31.4150032,-64.5050053
Carrefour Express,Córdoba,Córdoba,San Martín 4840,-33.0995068,-64.3472634
Carrefour Express,Córdoba,Córdoba,Santiago Derqui 33,-31.248478,-64.3072307
Carrefour Express,Córdoba,Córdoba,Claudio Cuenca 1784,-30.9798833,-64.4956155
Carrefour Express,Mendoza,Mendoza,Bandera de los Andes 9685,-32.8926683,-68.8296312
Carrefour Express,Capital Federal,Capital Federal,Avenida Cabildo 4300,-34.5447136,-58.4716652
Carrefour Hipermercado,Córdoba,Villa Urquiza,Av. Colón 4880,-31.3940322,-64.2429677
Hiper ChangoMás,Córdoba,Río Cuarto,Juan B. Justo 2052,-33.1304399,-64.3820206
Hiper ChangoMás,San Luis,San Luis,Av. del Fundador 1450,-33.2950327,-66.2856236
Hiper ChangoMás,Buenos Aires,San Fernando,Cno. Bancalari Boulogne s/n entre 202 y Uruguay,-34.4471919,-58.5701505
Hiper ChangoMás,Mendoza,Las Heras,Boulogne Sur Mer y Regalado Olguin,-32.8503256,-68.8406272
Hiper ChangoMás,San Juan,San Juan,José Ignacio de la Roza Oeste 806,-31.5370909,-68.5251802
ChangoMás,La Rioja,La Rioja,Av. Ortiz de Ocampo 1127,-29.4253683,-66.8607361
Hiper ChangoMás,Corrientes,Corrientes,Gregorio Pomar 840,-27.4818684,-58.7955872
Hiper ChangoMás,Córdoba,Córdoba,Mauricio Yadarola 1699,-31.3930856,-64.159605
ChangoMás,Salta,Salta,Av. Paraguay 1450,-24.8299826,-65.4314556
ChangoMás,Santiago del Estero,Santiago del Estero,Av. Belgrano Sur 2663,-27.8091394,-64.2488331
ChangoMás,Buenos Aires,El Talar,Colombia 1212,-34.4739041,-58.6627567
Hiper ChangoMás,Buenos Aires,Luján,Roberto Payro 198,-34.5568156,-59.105108
ChangoMás,Mendoza,Maipú,Calle J. A. Maza Nte. 470,-32.9846171,-68.7882043
Hiper ChangoMás,Buenos Aires,Sarandí,Autopista Bs. As. - La Plata km 9,-34.680758,-58.3463289
Hiper ChangoMás,Buenos Aires,La Tablada,Av. Monseñor Bufano 6050,-34.6993706,-58.5421153
Hiper ChangoMás,Tucumán,San Miguel de Tucumán,Av. Camino del Perú 950,-26.7964476,-65.2584677
ChangoMás,Neuquén,Neuquén,Gral. Manuel Belgrano 2735,-38.9519679,-68.0591741
ChangoMás,Río Negro,Bariloche,Av. J. Hermann e/ Pasaje Gutierrez y Calfu-Co,-41.1334781,-71.3101474
ChangoMás,La Pampa,Santa Rosa,Av. Circunvalación Santiago Marzo 1550,-36.6005184,-64.284281
ChangoMás,Formosa,Formosa,Av. Gunitsky 3636,-26.1852983,-58.1744976
ChangoMás,Catamarca,San Fernando del Valle de Catamarca,Av. Acosta Villafañez 2420,-28.4688806,-65.7790642
SuperChangoMás,Capital Federal,Mataderos,Av. Eva Perón 5526,-34.6617367,-58.4838789
ChangoMás,Buenos Aires,Burzaco,Av. Espora 2074,-34.816548,-58.3898516
ChangoMás,Buenos Aires,Moreno,Av. General Julio Argentino Roca 3500,-34.6396556,-58.7898326
SuperChangoMás,Buenos Aires,José C. Paz,Av. Gaspar Campos 5690,-34.5326726,-58.7473532
ChangoMás,Jujuy,Jujuy,Riobamba e/ Ruta 9 (Colectora) y Av. Perón,-24.2215739,-64.835172
ChangoMás,Buenos Aires,Malvinas Argentinas,Yatasto 198,-34.4948388,-58.7139422
ChangoMás,Tucumán,Río Salí,Guatemala y San Martín,-26.894261,-65.2106157
ChangoMás,Buenos Aires,3 de Febrero,Av. Juan Domingo Perón 9150,-34.5718753,-58.4251993
SuperChangoMás,Buenos Aires,Moreno,Martinez Melo 151,-34.6512147,-58.7927734
ChangoMás,Río Negro,Cipolletti,Bolivia 1169,-38.9319253,-67.9838063
ChangoMás,Entre Ríos,Paraná,Av. Blas Parera 1152,-31.7418376,-60.4934316
ChangoMás,Chubut,Trelew,Eva Perón Ruta Nacional N° 3 19,-43.2531242,-65.3094407
Hiper ChangoMás,Buenos Aires,Laferrere,Ruta 21 y Carlos Casares,-34.7506177,-58.584369
SuperChangoMás,Buenos Aires,Hurlingham,Av. Villegas 2750,-34.5838197,-58.6600413
SuperChangoMás,Buenos Aires,Hurlingham,Av. Vergara 2950,-34.5865798,-58.6384302
SuperChangoMás,Buenos Aires,Pergamino,Boulevard Dardo Rocha Nº 280,-33.897495,-60.575046
ChangoMás,Buenos Aires,Monte Chingolo,Boulevard de los Italianos 321,-34.715618,-58.3485728
ChangoMás,Misiones,Posadas,Av. Tambor de Tacuarí 5158,-27.3670463,-55.9264715
ChangoMás,Salta,Orán,Av. Pueyrredón y Av. Palacios,-23.33267,-64.3165433
ChangoMás,Río Negro,Viedma,Tierra del Fuego 514,-40.8251666,-62.9836666
Hiper ChangoMás,Buenos Aires,Olavarría,Av. Rivadavia 4870,-36.9357604,-60.1524124
ChangoMás,San Luis,Villa Mercedes,Pres. Juan Domingo Perón 825,-33.6866361,-65.4954266
ChangoMás,Córdoba,Córdoba,Nicanor Carranza 980,-31.3799639,-64.2312938
Hiper ChangoMás,Chubut,Comodoro Rivadavia,Enrique Girolamo 3100,-45.8826518,-67.5220884
Hiper ChangoMás,Chaco,Resistencia,Ruta 11 y Av. Marconi,-27.6048829,-59.1932003
ChangoMás,Buenos Aires,González Catán,Av. Brig. Gral. Juan Manuel de Rosas 14460,-34.769249,-58.6480318
ChangoMás,Córdoba,Córdoba,Av. Fuerza Aérea Argentina 4372,-32.6783081,-62.0868778
ChangoMás,Buenos Aires,Junín,RN7 80,-34.6132232,-60.9549356
ChangoMás,Mendoza,San Martín,Av. Boulogne Sur Mer y Lavalle 700,-33.0803973,-68.4705288
Hiper ChangoMás,Mendoza,Mendoza,San Martín Sur 2575,-32.9258382,-68.8485297
ChangoMás,Corrientes,Goya,"Av. Sarmiento, José M. Soto 721",-29.1527343,-59.2798424
ChangoMás,Salta,Salta,Av. Fuerza Aérea S/N esquina Aguas Blancas,-24.7892946,-65.4103194
ChangoMás,La Pampa,General Pico,Av. 319 y Calle 308,-35.6591085,-63.7576103
ChangoMás,Salta,Tartagal,Paraguay y ruta Nac. Nº34,-22.5194493,-63.7986328
ChangoMás,Buenos Aires,Temperley,Cerrito S/N esquina R. Darío,-34.7758816,-58.3971199
ChangoMás,Santiago del Estero,Santiago del Estero,Colectora Circunvalación y Av. Contreras,-27.7877148,-64.2595062
ChangoMás,San Juan,San Juan,Av. Doctor Ortega y Las Vicentinas,-31.5370909,-68.5251802
ChangoMás,Tucumán,Tucumán,Av. Jujuy entre Democracia y P. Fernández,-26.8303703,-65.2038133
SuperChangoMás,Buenos Aires,San Vicente,Av. 25 de Mayo 37,-35.0237182,-58.4233538
ChangoMás,Corrientes,Corrientes,Av. Maipú 2803,-27.5004688,-58.8130005
ChangoMás,Formosa,Formosa,Av. Doctor Lauriano Maradona y Somacal,-26.1852983,-58.1744976
Hiper ChangoMás,Buenos Aires,Pilar,"Colectora Acceso Norte 51.500 KM 51,5",-34.4489286,-58.7454152
ChangoMás,Tucumán,Concepción,Av. Güemes y Av. Francia,-27.3459249,-65.5927221
ChangoMás,San Juan,San Juan,Av. Nazario Benavidez 1050,-31.5115455,-68.5460985
ChangoMás,Chubut,Comodoro Rivadavia,Ruta nacional 3 km. 4 Barrio 25 de Mayo,-45.9762911,-67.5879026
ChangoMás,Buenos Aires,Caseros,Justo José de Urquiza 4341,-34.606774,-58.5554645
ChangoMás,Córdoba,Córdoba,Tte. Gral. Donato Alvarez 8600,-31.4166867,-64.1834193
ChangoMás,Chaco,Saenz Peña,Av. Juan Manuel de Rosas y Arturo Illia s/n,-26.7946786,-60.440797
ChangoMás,Misiones,Posadas,Av. Alicia Moreau de Justo y Av. Cabo de Hornos,-27.3664824,-55.894295
ChangoMás,La Pampa,Santa Rosa,Colectora de Av. Pte. Perón y Ultracán,-36.6203503,-64.2905765
ChangoMás,Tucumán,San Miguel de Tucumán,Ejército del Norte 2324,-26.7938313,-65.2246991
ChangoMás,Chubut,Puerto Madryn,Juan B. Justo 1885,-42.7848578,-65.0343042
ChangoMás,Buenos Aires,Don Orione,Lacaze 3963,-34.8101423,-58.2394594
ChangoMás,Jujuy,San Pedro de Jujuy,C. San Gabriel 712,-24.2242868,-64.8616554
ChangoMás,Formosa,Clorinda,Av. Tucumán 201,-25.2872408,-57.7241532
ChangoMás,Río Negro,General Roca,Chula Vista 1150,-39.0393316,-67.5720818
ChangoMás,Buenos Aires,Morón,Don Bosco 5635,-34.6889427,-58.6264594
ChangoMás,Buenos Aires,Cuartel V,Av. Derqui 5602,-34.5118329,-58.8201621
Hiper ChangoMás,Buenos Aires,Villa Pueyrredón,Av. de los Constituyentes 6020,-34.5720048,-58.5058576
Hiper ChangoMás,Buenos Aires,San Justo,Brig. Gral. Juan Manuel de Rosas 3990,-34.6774186,-58.5607837
Hiper ChangoMás,Buenos Aires,Avellaneda,Av. Güemes 861,-34.6790608,-58.3687792
Hiper ChangoMás,Entre Ríos,Paraná,Anacleto Medina 319,-31.7183681,-60.5421955
Hiper ChangoMás,Buenos Aires,La Plata,Camino Centenario 1876,-34.8481985,-58.0981001
Hiper ChangoMás,Buenos Aires,Bahía Blanca,Sarmiento 4114,-38.6851023,-62.2319446
Hiper ChangoMás,Santa Fe,Santa Fe,Ruta Nacional 168,-31.6397912,-60.6531414
Hiper ChangoMás,Córdoba,Córdoba,Av. Colón 6051,-31.3944162,-64.2600066
Hiper ChangoMás,Neuquén,Neuquén,Eugenio Perticone 1255,-38.9606671,-68.0410151
Hiper ChangoMás,Mendoza,Guaymallén,Moldes 1023,-32.9155371,-68.825446
Día,Buenos Aires,Luis Guillón,Boulevard Buenos Aires 1745,-34.8101197,-58.4484734
Día,Buenos Aires,Adolfo Gonzales Chaves,General Paz 184,-38.0330253,-60.0997209
Día,Capital Federal,Palermo,Av. Cabildo 360/368,-34.5724511,-58.4402446
Día,Capital Federal,Caballito,Av. Gaona 1286/90,-34.6077019,-58.445934
Día,Buenos Aires,Florencio Varela,San Martín 2048,-34.8017286,-58.2786382
Día,Capital Federal,Coghlan,Manuel Ugarte 3832,-34.5640092,-58.476205
Día,Buenos Aires,Quilmes,Av. Centenario 4005,-34.7350973,-58.251298
Día,Capital Federal,Balvanera,Jean Jaurés 318,-34.6064061,-58.4099436
Día,Capital Federal,Villa Urquiza,Andonaegui 2129,-34.5784752,-58.4870581
Día,Buenos Aires,Mar del Plata,Peralta Ramos 774,-38.0242503,-57.5773873
Día,Buenos Aires,Florencio Varela,España 3250,-34.8094972,-58.2761544
Día,Buenos Aires,Lomas del Mirador,Av. Rosas 275,-34.6636863,-58.5219578
Día,Buenos Aires,Isidro Casanova,Av. Cristiania 5147,-34.7178492,-58.5744754
Día,Capital Federal,Mataderos,Juan Bautista Alberdi 5287,-34.6474683,-58.498253
Día,Capital Federal,Constitución,Av. Pavón 1324,-34.6261306,-58.3847757
Día,Buenos Aires,Quilmes,Av. Mitre 1755,-34.7178207,-58.2565787
Día,Buenos Aires,Moreno,J. Álvarez e/ San Luis y Toledo 2669,-34.6396556,-58.7898326
Día,Buenos Aires,Olavarría,Av. Independencia 2369,-36.8954263,-60.3403577
Día,Capital Federal,Balvanera,Tte. Gral. Juan Domingo Perón 2560,-34.6092155,-58.4031396
Día,Buenos Aires,Quilmes,Hipólito Yrigoyen 451,-34.75253,-58.2323357
Día,Capital Federal,Recoleta,French 2979,-34.5873482,-58.4050904
Día,Buenos Aires,Adrogué,Av. San Martín 1926,-34.8019642,-58.3753246
Día,Capital Federal,Barracas,Av. General Iriarte 2295,-34.6491491,-58.3792032
Día,Capital Federal,Paternal,Av. San Martín 3517/33,-34.6016394,-58.4695823
Día,Entre Ríos,Paraná,Don Bosco 53,-31.7328459,-60.5152767
Día,Capital Federal,Retiro,Marcelo T. de Alvear 1300,-34.5970021,-58.3855507
Día,Capital Federal,Núñez,Av. Crisólogo Larralde 1809,-34.5435898,-58.4575585
Día,Buenos Aires,Salto,Alsina 1050,-34.2997796,-60.2426914
Día,Buenos Aires,Moreno,Av. Bartolomé Mitre 3244,-34.6475639,-58.7961525
Día,Capital Federal,Palermo,Amenábar 23,-34.577298,-58.4390063
Día,Capital Federal,Caballito,Av. Juan B. Alberdi 2859,-34.622899,-58.4406017
Día,Buenos Aires,Escobar,25 de Mayo (Ruta 25) 700,-34.3453213,-58.7950701
Día,Capital Federal,CABA,Garay 2655,-34.628652,-58.4018323
Día,Capital Federal,Congreso,Av. Callao 131,-34.5551422,-58.4618856
Día,Salta,Salta,Independencia 1325,-25.08557,-63.2336201
Día,Buenos Aires,Maquinista Savio,Ruta 26 esq. Corrientes,-34.4068549,-58.7720164
Día,Capital Federal,Boedo,Chiclana 3683,-34.6370805,-58.4158059
Día,Buenos Aires,La Reja,Pastorini 2009,-34.6363668,-58.8292977
Día,Entre Ríos,San Salvador,Hipólito Yrigoyen 369,-31.6237198,-58.5110405
Día,Buenos Aires,Villa Tesei,Nicolás Repetto 509,-34.629911,-58.6542224
Día,Capital Federal,Villa Urquiza,Roosevelt 5738,-34.5777009,-58.4943098
Día,Capital Federal,Constitución,Humberto Primo 1696,-34.6215149,-58.3898255
Día,Capital Federal,Villa Ortúzar,Av. Triunvirato 3217,-34.5835651,-58.4676472
Día,Entre Ríos,Paraná,Almafuerte 1160,-31.7514455,-60.5028478
Día,Buenos Aires,Castelar,Zeballos 3028,-34.6569535,-58.6488986
Día,Capital Federal,Villa Lugano,Somellera 5663,-34.67592,-58.4761585
Día,Capital Federal,Balvanera,Av. Entre Ríos 735,-34.6173171,-58.3918272
Día,Buenos Aires,González Catán,Cl. José María Moreno 400,-34.769249,-58.6480318
Día,Buenos Aires,Moreno,Av. Bartolomé Mitre 2375,-34.6505663,-58.784036
Día,Buenos Aires,Villa Ballester,9 de Julio 5300,-34.5578348,-58.5437848
Día,Buenos Aires,San Francisco Solano,Av. 24 581,-34.7877706,-58.3141536
Día,Buenos Aires,Campana,Belgrano 390,-34.164023,-58.9579555
Día,Capital Federal,Villa Urquiza,Álvarez Thomas 2423,-34.5769248,-58.4757427
Día,Buenos Aires,Ciudadela,Marcelo T. de Alvear 3200,-34.6399288,-58.5410771
Día,Capital Federal,Parque Chas,Triunvirato 3981,-34.5794472,-58.4770396
Día,Buenos Aires,José C. Paz,Av. Croacia 1196,-34.529789,-58.7798265
Día,Capital Federal,Flores,Lacarra 252,-34.6575197,-58.4581749
Día,Capital Federal,CABA,Av. Carrasco 487,-34.6316967,-58.4919232
Día,Capital Federal,Colegiales,Amenábar 1145,-34.5701244,-58.4501545
Día,Capital Federal,Nueva Pompeya,Intendente F. Rabanal 1482,-34.6526296,-58.4147098
Día,Capital Federal,Villa Lugano,Murguiondo 3236,-34.6683175,-58.4869125
Día,Buenos Aires,Paso del Rey,S. M. del Carril y Ruta 7 169,-34.6582188,-58.7620664
Día,Capital Federal,Chacarita,Av. Córdoba 5799,-34.5860896,-58.4422018
Día,Buenos Aires,Tandil,Av. Colón 1143,-37.3186988,-59.1337763
Día,Capital Federal,Colegiales,Federico Lacroze 2589,-34.5721943,-58.4463821
Día,Corrientes,Santa Lucía,Av. San Martín 690,-28.9974814,-59.109871
Día,Buenos Aires,Avellaneda,25 de Mayo 119,-34.6612908,-58.363962
Día,Capital Federal,Liniers,Cl. José León Suárez 30,-34.6388693,-58.526338
Día,Buenos Aires,Monte Grande,Cl. Nuestras Malvinas y D. Funes 1024,-34.8192731,-58.4664257
Día,Entre Ríos,Oro Verde,Av. Castillo 133,-31.8214255,-60.5157655
Día,Buenos Aires,Villa Gesell,Calle 3 118,-37.2420058,-56.963963
Día,Buenos Aires,Rafael Castillo,Federico Pedro Russo 4948,-34.7400075,-58.6325257
Día,Buenos Aires,Ranchos,Cl. L. Giles e H. Yrigoyen 2900,-35.5160129,-58.3188042
Día,Buenos Aires,Rauch,Coronel Suárez 150,-36.7773414,-59.088418
Día,Capital Federal,Villa Crespo,Malabia 467,-34.5985434,-58.4389222
Día,Capital Federal,Villa General Mitre,Av. Donato Álvarez 1887,-34.6050991,-58.4638037
Día,Capital Federal,Flores,Av. Gaona 3163,-34.6181197,-58.4699865
Día,Capital Federal,Agronomía,Nueva York 2717,-34.5901022,-58.4955514
Día,Capital Federal,Almagro,Av. Corrientes 4474,-34.6025834,-58.428146
Día,Capital Federal,Agronomía,Av. de los Incas 4701,-34.5952803,-58.4859915
Día,Capital Federal,Liniers,Montiel 261,-34.6423496,-58.5263034
Día,Buenos Aires,Lomas de Zamora,Av. Eva Perón 2948,-34.7630308,-58.3647842
Día,Corrientes,Mercedes,San Martín 1240/1246,-29.0990489,-58.3394242
Día,Capital Federal,Nueva Pompeya,Esquiú 1001,-34.6517364,-58.4179987
Día,Capital Federal,Flores,Avenida Varela 1078,-34.6544677,-58.4396685
Día,Buenos Aires,Avellaneda,Galicia 759,-34.6708864,-58.3901574
Día,Capital Federal,Mataderos,Av. Directorio 5640,-34.6551315,-58.4959708
Día,Buenos Aires,Ayacucho,Alem 925,-37.1540099,-58.487349
Día,Capital Federal,San Cristóbal,24 Noviembre 965,-34.6222666,-58.4107537
Día,Capital Federal,Villa Ortúzar,Triunvirato 2864,-34.5852152,-58.4626162
Día,Capital Federal,Parque Patricios,Matheu 1756,-34.6300854,-58.3978511
Día,Santa Fe,Firmat,Córdoba 886,-33.459845,-61.4883149
Día,Buenos Aires,Ricardo Rojas,Marcos Sastre 2763,-34.4729403,-58.6698282
Día,Capital Federal,Caballito,Av. Díaz Vélez 5540,-34.6080334,-58.4442749
Día,Buenos Aires,Munro,Dalmacio Vélez Sarsfield 4864,-34.5296066,-58.5220231
Día,Capital Federal,CABA,Yrigoyen 1170,-34.611557,-58.4102738
Día,Salta,Salta,Las Golondrinas 1511,-24.8484656,-65.4349725
Día,Capital Federal,Villa Real,Av. Lope de Vega 3472,-34.6120108,-58.5279977
Día,Buenos Aires,Capitán Sarmiento,Rivadavia 536,-34.1732318,-59.7958615
Día,Buenos Aires,Vicente López,Avenida Maipú 1940,-34.5343656,-58.4780319
Día,Capital Federal,Liniers,Av. Rivadavia 10536,-34.639455,-58.5119671
Día,Capital Federal,Barracas,Wenceslao Villafañe 1310,-34.6348501,-58.3712835
Día,Buenos Aires,General Belgrano,Av. España e/ J. de la Fuente y Paz 700,-35.765718,-58.4972221
Día,Buenos Aires,Benito Juárez,Av. Libertad esq. Moreno 150,-37.6757389,-59.8075573
Día,Capital Federal,Caballito,Otamendi 443,-34.6116206,-58.4332905
Día,Buenos Aires,José C. Paz,Av. Pte. Hipólito Yrigoyen (Rp 24) 40,-34.511906,-58.7776777
Día,Capital Federal,Retiro,Paraguay 788,-34.597696,-58.3781207
Día,Capital Federal,Mataderos,Av. Alberdi 7374,-34.6613662,-58.516132
Día,Capital Federal,Retiro,Libertad 1630,-34.5891554,-58.3833767
Día,Buenos Aires,Balcarce,Boulevard Del Valle 512,-37.846399,-58.2554648
Día,Buenos Aires,Lanús,Pte. J. D. Perón 3241,-34.7073871,-58.3905998
Día,Buenos Aires,Azul,Av. San Martín 676,-34.7011931,-58.3030976
Día,Entre Ríos,Concordia,Eva Perón 1480,-31.365838,-58.0106401
Día,Buenos Aires,Coronel Vidal,Avellaneda 110,-37.4489447,-57.7255027
Día,Capital Federal,Villa Crespo,Darwin 548,-34.594444,-58.4457658
Día,Buenos Aires,San Vicente,Av. Sarmiento esq. Amoretti,-33.8967542,-60.5861157
Día,Capital Federal,CABA,Av. Belgrano 3288,-34.6155244,-58.4124892
Día,Buenos Aires,José León Suárez,Sarratea y Serrano,-34.534488,-58.5762177
Día,Corrientes,San Roque,Juan B. Cossio 1042,-28.5709194,-58.7119707
Día,Capital Federal,Flores,Juan Bautista Alberdi 3643,-34.6318698,-58.4637875
Día,Capital Federal,Monserrat,Av. de Mayo 1431,-34.6093033,-58.3879786
Día,Capital Federal,Monte Castro,Lope de Vega 1525,-34.6256542,-58.5097133
Día,Buenos Aires,Lomas de Zamora,Cl. Claudio de Alas 2150,-34.7141153,-58.4678474
Día,Santa Fe,Venado Tuerto,Av. Estrugamou 1657,-33.7391043,-61.973595
Día,Santa Fe,Arroyo Seco,Hipólito Yrigoyen 229,-33.1560528,-60.5126862
Día,Entre Ríos,Paraná,Churruarín 601,-31.7439259,-60.5091928
Día,Entre Ríos,Paraná,Gral. José M. Galán 1471,-31.7330145,-60.5298511
Día,Capital Federal,Villa Pueyrredón,Artigas 4746,-34.5830975,-58.4981278
Día,Buenos Aires,Florida,San Martín 2269,-34.5286094,-58.4931189
Día,Capital Federal,CABA,Avenida Cobo 676,-34.6407111,-58.425728
Día,Capital Federal,Villa Riachuelo,Cañada de Gómez 4830,-34.6855486,-58.4745231
Día,Buenos Aires,Ensenada,Cl. Bossinga 783,-34.8568883,-57.9170957
Día,Corrientes,Paso de los Libres,Colón 960,-29.7127248,-57.0887403
Día,Buenos Aires,Rafael Calzada,Av. San Martín 3429,-34.7916208,-58.3576127
Día,Capital Federal,Almagro,La Plata 564,-34.6215141,-58.427761
Día,Capital Federal,Flores,Av. Varela 1189,-34.6537166,-58.4406456
Día,Capital Federal,CABA,Urquiza 636,-34.6179937,-58.4092364
Día,Capital Federal,Caballito,Av. Acoyte 232,-34.6154625,-58.4377841
Día,Buenos Aires,Lanús,Cl. Coronel Beltrán 239,-34.7255712,-58.3981319
Día,Buenos Aires,Rincón de Milberg,Santa María 2539,-34.3941934,-58.6313692
Día,Capital Federal,Almagro,Av. Rivadavia 3566,-34.6110102,-58.4167096
Día,Buenos Aires,William Morris,Villegas esquina Cañuelas,-34.6841258,-58.6575787
Día,Capital Federal,Villa Pueyrredón,Gral. J. G. Artigas 5467,-34.5794479,-58.5040849
Día,Capital Federal,Palermo,Av. Scalabrini Ortiz 3170,-34.5925628,-58.4274614
Día,Capital Federal,CABA,Avenida Rivadavia 8130,-34.633117,-58.4780944
Día,Capital Federal,Parque Chas,Av. de los Incas 5260,-34.5873174,-58.4820958
Día,Capital Federal,San Telmo,Bolívar 1474,-34.6250203,-58.3725017
Día,Capital Federal,Parque Chacabuco,Av. Eva Perón 1790,-34.6355723,-58.448236
Día,Entre Ríos,San José de Feliciano,Rp2 149 (o Calle San Martín),-30.3854477,-58.7506643
Día,Buenos Aires,Magdalena,25 de Mayo 1069,-35.0764088,-57.5285963
Día,Capital Federal,Palermo,Soldado de la Independencia 1236,-34.5643256,-58.4400123
Día,Capital Federal,San Cristóbal,Av. Juan de Garay 2435,-34.6283287,-58.3991056
Día,Capital Federal,Villa Luro,Av. Lope de Vega 1155,-34.6284937,-58.5057591
Día,Corrientes,Bella Vista,Buenos Aires 669/77,-28.5099328,-59.0445196
Día,Salta,Salta,Av. San Martín 866,-24.7931219,-65.4149345
Día,Buenos Aires,Florencio Varela,Av. Bélgica 61,-34.8211002,-58.2814543
Día,Capital Federal,Villa Devoto,Av. Francisco Beiró 3146,-34.5971507,-58.4974833
Día,Capital Federal,Parque Patricios,Av. Caseros 2068,-34.6345547,-58.3913952
Día,Capital Federal,San Cristóbal,Av. Entre Ríos 1525,-34.6265904,-58.3913801
Día,Salta,Salta,Córdoba 795,-24.8000787,-65.4090952
Día,Buenos Aires,Vedia,Arenales 99,-34.4956683,-61.5412415
Día,Capital Federal,Flores,José Bonifacio 1773,-34.6297987,-58.453272
Día,Capital Federal,Monserrat,Lima 277,-34.6116519,-58.3819573
Día,Buenos Aires,Lomas de Zamora,Cl. Maipú 148,-34.743169,-58.3939313
Día,Capital Federal,Parque Chacabuco,Avenida Carabobo 1442,-34.640812,-58.4466542
Día,Buenos Aires,Moreno,Av. Libertador 1501,-34.6285712,-58.7796811
Día,Capital Federal,Belgrano,Cabildo 2754,-34.5566182,-58.4618004
Día,Capital Federal,Caballito,San Martín 1732,-34.6059661,-58.4532485
Día,Entre Ríos,Villaguay,San Martín 1524,-31.8558247,-59.0273485
Día,Buenos Aires,Florida,Av. San Martín 2873,-34.7604598,-58.3006702
Día,Buenos Aires,Mar del Plata,Pedro Luro esq. 180 1602,-37.9493958,-57.6418883
Día,Entre Ríos,Paraná,Benicio López 1735,-31.773872,-60.5003061
Día,Entre Ríos,Paraná,Fotógrafo Carlos Pra 12,-31.7679317,-60.5235937
Día,Capital Federal,Villa Soldati,Intendente Francisco Rabanal 2261,-34.6594087,-58.4286544
Día,Capital Federal,Balvanera,Ecuador 762,-34.6011205,-58.4069917
Día,Buenos Aires,Tablada,Cl. J. S. Crovara 2472,-34.6171727,-58.7988577
Día,Corrientes,Mercedes,San Martín 2300,-29.0990489,-58.3394242
Día,Capital Federal,Nueva Pompeya,Río Cuarto 3958,-34.6536771,-58.4043874
Día,Buenos Aires,Florida Oeste,Gral. de San Martín 3800,-34.5387664,-58.5144051
Día,Capital Federal,Saavedra,Av. Balbín 4320,-34.5552872,-58.492643
Día,Capital Federal,Almagro,Tte. Gral. Juan Domingo Perón 4029,-34.6099883,-58.4222331
Día,Córdoba,Hernando,Bv. Rivadavia 300,-32.4279251,-63.7343423
Día,Capital Federal,Recoleta,Riobamba 1014,-34.5965376,-58.394747
Día,Capital Federal,Flores,Artigas 26,-34.6288363,-58.4643732
Día,Capital Federal,Mataderos,Av. de los Corrales 6901,-34.665186,-58.5035391
Día,Capital Federal,Villa del Parque,Av. Francisco Beiró 3146,-34.5971507,-58.4974833
Día,Capital Federal,Paternal,Paysandú 1816,-34.6040442,-58.4587305
Día,Capital Federal,Villa del Parque,Melincué 3774,-34.6065791,-58.5000864
Día,Buenos Aires,San Miguel,Belgrano 1377,-34.5279103,-58.725002
Día,Capital Federal,Villa Urquiza,Roosevelt 5367,-34.5751351,-58.4902152
Día,Capital Federal,Balvanera,Av. Rivadavia 3050,-34.6104926,-58.4096184
Día,Capital Federal,Chacarita,Av. Forest 555,-34.5819663,-58.456867
Día,Buenos Aires,José C. Paz,Gaspar Campos 5076,-34.5353064,-58.7435552
Día,Capital Federal,Villa Crespo,Gurruchaga 431,-34.5978711,-58.4423145
Día,Buenos Aires,Cañuelas,Av. Libertad 1256,-35.0425244,-58.7684087
